shard,iteration,utc,time_source,archive,checkpoint_archive_sha256,archive_mtime_ns,completed_intervals,completion_percent
shard-001,682,2026-09-09T23:22:44.531692+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000682-96135d0277e91a49.json.gz,448ad0726b97f48cd7246fe554e98c462f8764592304568a3780577b0e39fbcb,1788996164531691815,1,0.01141552511415525
shard-000,0,2026-09-09T23:22:58.810603+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000000-781d7e44bfbfd5d5.json.gz,fb603deac45a403d9896097d07ce2618f97990c989ccd7bbdaecd3535d1173f8,1788996178810603161,2,0.0228310502283105
shard-001,683,2026-09-09T23:23:33.485033+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000683-9baf21a74a47b7b5.json.gz,c4aace624f602ccf450f42b39943d61b4dc4abdf4ae9abcaf3285aff0973939f,1788996213485033095,3,0.03424657534246575
shard-000,1,2026-09-09T23:24:20.470292+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000001-715cd35833a45937.json.gz,461879f326cea6710be21b67829581f97c0127de53e3f504ff4fb29197bbcb15,1788996260470291645,4,0.045662100456621
shard-001,684,2026-09-09T23:24:21.280439+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000684-bf773550d21243a2.json.gz,96cddced331bb09126a85e0ad61f6b76730bcac265a9d08dcc2e746e0876e68f,1788996261280438810,5,0.05707762557077625
shard-000,2,2026-09-09T23:25:35.592059+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000002-ea77df25af5810f9.json.gz,fd3827eafe17431874b05f3248b9f200df28a9c1ef1ac940203c6d989ee74aa4,1788996335592058893,6,0.0684931506849315
shard-001,685,2026-09-09T23:25:46.795533+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000685-6a2a19d37e5f3810.json.gz,c4b36af3cc9f3f1361b06027c0421d823900afbf6cf08e72f52f32e221e51106,1788996346795533056,7,0.07990867579908675
shard-000,3,2026-09-09T23:26:20.149774+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000003-bea4aeec4db80fdd.json.gz,65090e6ba89f2464ecd9ebb7df55b89b737abc74ba32001842bc352cc44c24ba,1788996380149774132,8,0.091324200913242
shard-001,686,2026-09-09T23:27:00.035388+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000686-0f021cde407acb0f.json.gz,2b36481820e6af51b7c9dcd59eba5e0282c780b6826021813b4f89a6d3fbf694,1788996420035387929,9,0.10273972602739725
shard-000,4,2026-09-09T23:27:20.167921+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000004-517c9e9c4d8911b8.json.gz,473cb9e42b51db93f2fea38d2d7191f2a0994907257c7864695614cc494ed624,1788996440167920873,10,0.1141552511415525
shard-001,687,2026-09-09T23:27:55.996722+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000687-505bdbbd1ce26eb9.json.gz,b21f2e55a54a19d08f4553093e2afa4188b383460f7fb68410df0c61b48a3272,1788996475996721690,11,0.12557077625570776
shard-000,5,2026-09-09T23:28:37.436895+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000005-b116072a7085162e.json.gz,ee384a90de0a997621968cccd4425321a062fe0b178e63526a86b3c4e36f0972,1788996517436895112,12,0.136986301369863
shard-001,688,2026-09-09T23:29:01.793097+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000688-acd5116de5e42567.json.gz,f8f13c5f3a8c352c634d7089db859c63889dd54a3eebbe6a5f1f06c51003ba21,1788996541793097333,13,0.14840182648401826
shard-001,689,2026-09-09T23:30:31.807738+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000689-df62347cfa25394d.json.gz,b1d4c0858b463d8e2146f333dae558465eda4d8e1aee1c00eeb678262abf99df,1788996631807737636,14,0.1598173515981735
shard-001,690,2026-09-09T23:31:37.919754+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000690-a00ba1560c4d7f99.json.gz,d9961fc778785dca9ab6ebeb5e3e1e8ea932580832c248a34733054f586ac11f,1788996697919753908,15,0.17123287671232876
shard-000,6,2026-09-09T23:33:11.575333+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000006-afb4eff614555986.json.gz,e6a953ec4ffb5765629c8f3f2d195de7555c3826c9b5d90a69af75a0f16a036f,1788996791575333133,16,0.182648401826484
shard-001,691,2026-09-09T23:33:24.398730+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000691-8a9e4e57ab001922.json.gz,9f8d94536df56c673283a69f349c58efd9c8951feecedd1229cca91d7fa170ff,1788996804398729885,17,0.19406392694063926
shard-000,7,2026-09-09T23:34:00.695027+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000007-4c76a37b660e0b18.json.gz,27aa8bffb6005c020ea6ba0385c48cce53066b9e24026ff95fe574401a379642,1788996840695027274,18,0.2054794520547945
shard-001,692,2026-09-09T23:34:32.759084+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000692-a8f0e407fc79add6.json.gz,699bca140bf863f024a23161ec708c377b6c515e20f55beff39384fb29bf09b5,1788996872759083495,19,0.21689497716894976
shard-000,8,2026-09-09T23:34:51.359879+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000008-ad8c19b70c1fce0e.json.gz,6de7065f17e026be02bb2a48388ba7d0b0b813b49409c8d025f5bf3eeac36d5e,1788996891359879157,20,0.228310502283105
shard-000,9,2026-09-09T23:35:47.469230+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000009-386e3cb7543d96ff.json.gz,5ab77f44de74c01babad7b3b934ad77544681e0a38f1045adf35ff0f748c98a6,1788996947469230164,21,0.23972602739726026
shard-001,693,2026-09-09T23:36:28.138304+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000693-48d0b37619fc5b55.json.gz,2a090fd587ffe54f174e51364f90536bd2637e29588602ddc838727042beb600,1788996988138303663,22,0.2511415525114155
shard-000,10,2026-09-09T23:36:46.371646+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000010-202b1415d22863aa.json.gz,5d0b36ac9ef19543248eae1ab0c73d4acadf9bf3932e14e387df2ff579ea9817,1788997006371645859,23,0.2625570776255708
shard-001,694,2026-09-09T23:37:33.424548+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000694-ba49abd94de77c3e.json.gz,c37034bc89ff90c18a6a800fb07419fe09ec73779974c4b7e4db215e161c12f3,1788997053424548407,24,0.273972602739726
shard-000,11,2026-09-09T23:37:51.003431+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000011-f79becefe07e3c45.json.gz,42384e1f1acc8d4e3a4651805c7aee6ce6e5fa97e587b74329f29254f57d73b1,1788997071003431184,25,0.2853881278538813
shard-001,695,2026-09-09T23:38:25.359641+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-001/window-000695-b1991d2253df50c5.json.gz,ddad4fa0f4ad459dff5a4a0a7bf0784cec0c3588d97dd499124bf7e3352174e6,1788997105359640485,26,0.2968036529680365
shard-000,12,2026-09-09T23:38:59.057722+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000012-b60c9dd732b85552.json.gz,9412b2c142f300649f7d7bad4495ba70d9768150e23232a014a918d8320b34bb,1788997139057722110,27,0.3082191780821918
shard-000,13,2026-09-09T23:40:39.185087+00:00,archive_mtime_proxy,experiments/case118_annual_hierarchy/results/s4b_annual_ac/shard-000/window-000013-1904d772345e8db1.json.gz,473c1a0230ab2dd0e282983324d9e9afeb869480f66dc8abdb2c4473f143b463,1788997239185087487,28,0.319634703196347
