iteration,dc_generation_mw,dc_battery_power_mw,dc_soc_end_mwh
0,4429.8643516046695,-0.0005163030015890603,541.9512410226017
1,4315.758768145152,-0.0023830212360978894,541.9536240438377
2,4220.587195074506,-9.867613386465345,551.8212374303032
3,4142.670227511769,-20.405328998951816,572.226566429255
4,4082.4232941042314,-25.639238289604478,597.8658047188594
5,4043.7692269677777,-24.65878535162091,622.5245900704804
6,4029.3819335998473,-17.195925055208903,639.7205151256892
7,3823.8888696195713,-3.4064008770042973,643.1269160026934
8,3675.8511522320996,-0.001854497723861157,643.1287705004173
9,3687.5823907836216,-98.80918977499972,741.937960275417
10,3715.9506570741946,-150.48728731324084,892.425247588658
11,3746.103975773418,-138.68250900188636,1031.1077565905443
12,3764.171952291213,-52.78619009226054,1083.8939466828049
13,3869.6450159349542,-0.00017835810984790564,1083.8941250409146
14,4070.6844874836033,-6.364388582736109e-05,1083.8941886848006
15,4300.104377852509,-4.192755118360963e-05,1083.8942306123515
16,4541.7229595940735,-4.459994385127052e-05,1083.8942752122955
17,4769.321641946573,9.454102383021528,1074.4401728292737
18,4777.730931945453,217.382766935462,857.057405893812
19,4769.2051925823425,208.665832646695,648.3915732471169
20,4746.4566643492,183.25354367836746,465.13802956874946
21,4711.296125067434,142.76027034242696,322.3777592263225
22,4665.714750976961,90.50146695930087,231.87629226702163
23,4613.509615694262,29.51431625972682,202.3619760072948
24,4524.410122194181,6.223453994580705e-07,202.3619753849494
25,4404.763200895912,-0.0002474644553718932,202.3622228494048
26,4294.520423805679,-0.00029824727795521166,202.36252109668274
27,4201.493955493143,-0.0004321641661299792,202.36295326084885
28,4132.3680187162645,-0.0007179076322377559,202.36367116848112
29,4092.2455979007923,-0.0013078452919173466,202.364979013773
30,4084.299979174381,-0.001791589886830233,202.36677060365986
31,3915.411529015059,-0.00339300606195312,202.37016360972177
32,3916.7192551716976,-125.98313482094481,328.3532984306666
33,3937.7996226904297,-218.52650770384002,546.8798061345067
34,3926.9871903744993,-220.3832121362146,767.2630182707212
35,3965.86816559603,-211.3773845733231,978.6404028440444
36,3965.9427156560296,-105.26046941223099,1083.9008722562753
37,4018.9737291459874,-0.0003875014537270277,1083.9012597577291
38,4219.526385883836,-7.878341940724241e-05,1083.9013385411486
39,4449.447970053729,-5.019975523387023e-05,1083.9013887409037
40,4693.599330104479,-5.555332511030631e-05,1083.901444294229
41,4877.994015510022,57.6006935884911,1026.3007507057378
42,4887.956956359127,270.9707252870437,755.3300254186942
43,4884.748793450274,264.6369260921244,490.6930993265699
