source,bytes,sha256,group,scenario,disposition,destination,purpose,producer,dependencies
outputs/.DS_Store,6148,,.DS_Store,not scientific evidence,temporary,,Interpreter/UI cache or OS metadata; no scientific authority,Python/marimo cache or OS,None; disposable cache/metadata
outputs/2026-09-02-resiliency-metric-classification/reduced-metric-summary-classified.xlsx,27558,db5e5a290839d11df6e4d74900471aee534798fdbc19be799efbec7ace804d78,2026-09-02-resiliency-metric-classification/reduced-metric-summary-classified.xlsx,other task,retain-out-of-scope,,"Separate resiliency classification task, not Case118 S5",Not established by this S5 inventory,Out of scope or historical source metadata
outputs/S5_OPERATOR_RUNBOOK.md,15388,f82fd56e74bb75ab7314a2376363acd90703421ad9ab67e4209a47d42fee2499,S5_OPERATOR_RUNBOOK.md,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-archive,,Historical operational authority/diagnostic evidence; not an instruction or authorization for new studies,"S5 operational record; exact producer where recorded in embedded command/source metadata, otherwise not established","Historical source fingerprint, fixture, manifest, checkpoints, process receipts; not current execution authority"
outputs/analysis/S5_OPERATOR_OBSERVATIONS.md,3468,f7b70ae75c6bfdf9f67c6646a578e375ca9b16e07d715d4e678ad01d441dd57a,analysis/S5_OPERATOR_OBSERVATIONS.md,analytical Case118 S4/S5; historical snapshots retain their own coverage,promote,experiments/case118_annual_hierarchy/analysis/artifacts/operator_observations.md,"Selected code, final evidence, or documented run provenance",Operator observations recorded by assistant,Operator statements and named original timing snapshots; qualitative evidence
outputs/analysis/refresh_completion_band.py,1942,da80694e8a8df539097065cf8405c0d540b75a52460e21f1908aa8cc256427c3,analysis/refresh_completion_band.py,analytical Case118 S4/S5; historical snapshots retain their own coverage,promote,experiments/case118_annual_hierarchy/analysis/collectors/refresh_completion_band.py,"Selected code, final evidence, or documented run provenance",outputs/analysis/refresh_completion_band.py (source code; not a generated result),"Imports, environment variables and input paths are specified in this source; see group disposition"
outputs/analysis/s5_completion_band_20260915T164648/band_metadata.json,370,5d7939e43975f32a3b84615867fabf7e936d5e46677b9a05ce6f47cb9e49aa9a,analysis/s5_completion_band_20260915T164648,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",Exact producing invocation not established; retain historical/unverified rather than promote as authority,Original metadata and named source paths where present; see group disposition
outputs/analysis/s5_completion_band_20260915T164648/checkpoint_snapshot.json,1086516,036da1c7fc36805a83a658c5366c1727dcfe717615d528740f6d432b5b3db962,analysis/s5_completion_band_20260915T164648,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",Exact producing invocation not established; retain historical/unverified rather than promote as authority,Original metadata and named source paths where present; see group disposition
outputs/analysis/s5_completion_band_20260915T164648/completion.csv,1777593,fd06f55fdc47f2bd80115ccb7f500b9ecd28822fd8589cfa0c701322ad0aaef7,analysis/s5_completion_band_20260915T164648,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",Exact producing invocation not established; retain historical/unverified rather than promote as authority,Original metadata and named source paths where present; see group disposition
outputs/analysis/s5_completion_band_20260915T164648/completion_walltime.pdf,55611,036d0530a5acb19dc6c5cfa332414f8cef1a8636565b8f98807e5fdb23959090,analysis/s5_completion_band_20260915T164648,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",Exact producing invocation not established; retain historical/unverified rather than promote as authority,Original metadata and named source paths where present; see group disposition
outputs/analysis/s5_completion_band_20260915T164648/completion_walltime.png,131286,8ba1e20c1dbca72702aa93c9b3be300d1bb8e12060c2d83e1051e3024dd2213d,analysis/s5_completion_band_20260915T164648,analytical Case118 S4/S5; historical snapshots retain their own coverage,retain-historical,,"Interim diagnostic/plot/code or superseded exploratory output; preserve originals, use selected final evidence and reviewed tools",Exact producing invocation not established; retain historical/unverified rather than promote as authority,Original metadata and named source paths where present; see group disposition
