bus,base_load_mw,load_share,dispatchable_pmax_mw,renewable_ids,available_renewable_mwh,storage_power_mw,storage_energy_mwh,annual_load_minus_available_renewables_mwh
1,51.0,0.012022630834512023,0.0,,0.0,0.0,0.0,446760.000001428
2,20.0,0.004714757190004715,0.0,,0.0,0.0,0.0,175200.00000056002
3,39.0,0.009193776520509194,0.0,,0.0,0.0,0.0,341640.00000109203
4,39.0,0.009193776520509194,0.0,,0.0,0.0,0.0,341640.00000109203
5,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
6,52.0,0.012258368694012258,0.0,,0.0,0.0,0.0,455520.000001456
7,19.0,0.004479019330504479,0.0,,0.0,0.0,0.0,166440.000000532
8,28.0,0.006600660066006601,0.0,,0.0,0.0,0.0,245280.000000784
9,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
10,0.0,0.0,505.0,,0.0,0.0,0.0,0.0
11,70.0,0.0165016501650165,0.0,,0.0,0.0,0.0,613200.00000196
12,47.0,0.01107967939651108,85.0,,0.0,0.0,0.0,411720.000001316
13,34.0,0.008015087223008015,0.0,,0.0,0.0,0.0,297840.00000095204
14,14.0,0.0033003300330033004,0.0,,0.0,0.0,0.0,122640.000000392
15,90.0,0.021216407355021217,0.0,,0.0,0.0,0.0,788400.00000252
16,25.0,0.005893446487505893,0.0,,0.0,0.0,0.0,219000.0000007
17,11.0,0.002593116454502593,0.0,,0.0,0.0,0.0,96360.000000308
18,60.0,0.014144271570014143,0.0,,0.0,0.0,0.0,525600.00000168
19,45.0,0.010608203677510608,0.0,,0.0,0.0,0.0,394200.00000126
20,18.0,0.004243281471004243,0.0,,0.0,0.0,0.0,157680.000000504
21,14.0,0.0033003300330033004,0.0,,0.0,0.0,0.0,122640.000000392
22,10.0,0.0023573785950023575,0.0,,0.0,0.0,0.0,87600.00000028001
23,7.0,0.0016501650165016502,0.0,,0.0,0.0,0.0,61320.000000196
24,13.0,0.0030645921735030644,0.0,,0.0,0.0,0.0,113880.000000364
25,0.0,0.0,221.0,,0.0,0.0,0.0,0.0
26,0.0,0.0,485.0,,0.0,0.0,0.0,0.0
27,71.0,0.016737388024516738,0.0,,0.0,0.0,0.0,621960.000001988
28,17.0,0.004007543611504008,0.0,,0.0,0.0,0.0,148920.00000047602
29,24.0,0.005657708628005658,0.0,,0.0,0.0,0.0,210240.000000672
30,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
31,43.0,0.010136727958510137,17.0,,0.0,0.0,0.0,376680.000001204
32,59.0,0.013908533710513909,0.0,,0.0,0.0,0.0,516840.00000165205
33,23.0,0.0054219707685054215,0.0,,0.0,0.0,0.0,201480.00000064398
34,59.0,0.013908533710513909,0.0,,0.0,0.0,0.0,516840.00000165205
35,33.0,0.007779349363507779,0.0,,0.0,0.0,0.0,289080.000000924
36,31.0,0.007307873644507308,0.0,,0.0,0.0,0.0,271560.000000868
37,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
39,27.0,0.006364922206506365,0.0,,0.0,0.0,0.0,236520.00000075603
40,66.0,0.015558698727015558,0.0,,0.0,0.0,0.0,578160.000001848
41,37.0,0.008722300801508723,0.0,,0.0,14.436688329400003,57.74675331760001,324120.00000103604
42,96.0,0.02263083451202263,0.0,,0.0,0.0,0.0,840960.000002688
43,18.0,0.004243281471004243,0.0,,0.0,0.0,0.0,157680.000000504
44,16.0,0.003771805752003772,0.0,,0.0,0.0,0.0,140160.000000448
45,53.0,0.012494106553512494,0.0,,0.0,0.0,0.0,464280.000001484
46,28.0,0.006600660066006601,20.0,,0.0,0.0,0.0,245280.000000784
47,34.0,0.008015087223008015,0.0,,0.0,0.0,0.0,297840.00000095204
48,20.0,0.004714757190004715,0.0,,0.0,0.0,0.0,175200.00000056002
49,87.0,0.02050919377652051,223.0,,0.0,0.0,0.0,762120.000002436
50,17.0,0.004007543611504008,0.0,,0.0,0.0,0.0,148920.00000047602
51,17.0,0.004007543611504008,0.0,,0.0,0.0,0.0,148920.00000047602
52,18.0,0.004243281471004243,0.0,,0.0,0.0,0.0,157680.000000504
53,23.0,0.0054219707685054215,0.0,,0.0,0.0,0.0,201480.00000064398
54,113.0,0.026638378123526638,53.0,,0.0,0.0,0.0,989880.000003164
55,63.0,0.01485148514851485,0.0,,0.0,0.0,0.0,551880.000001764
56,84.0,0.019801980198019802,0.0,,0.0,0.0,0.0,735840.000002352
57,12.0,0.002828854314002829,0.0,,0.0,0.0,0.0,105120.000000336
58,12.0,0.002828854314002829,0.0,,0.0,0.0,0.0,105120.000000336
59,277.0,0.0652993870815653,308.0,,0.0,0.0,0.0,2426520.000007756
60,78.0,0.018387553041018388,0.0,,0.0,0.0,0.0,683280.0000021841
61,0.0,0.0,195.0,,0.0,0.0,0.0,0.0
62,77.0,0.018151815181518153,0.0,,0.0,0.0,0.0,674520.000002156
63,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
64,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
65,0.0,0.0,441.0,solar_case118,2786994.000008908,205.94638572560004,823.7855429024002,-2786994.000008908
