,generator_net_change_mw,generator_l1_mw,generator_counterdirection_mw,battery_net_change_mw,battery_l1_mw,soc_net_change_mwh,soc_end_l1_mwh
load_mw,0.3816000167833569,-0.1759601368102093,-0.2583515307106331,0.02697653453085074,0.13373155737785103,0.017431052290728447,0.11149014208797214
net_load_mw,0.13558597944438516,-0.6076328593664189,-0.6429697254855464,0.02330480893098457,-0.008034021526695037,0.033694419802301666,0.04644021031349462
available_nd_mw,0.1429045953879939,0.5207779652908582,0.5198858401807986,0.03798413801157545,0.15503806127645176,-0.060021946891454465,0.07219859529789965
renewable_fraction,0.11351519278487177,0.5234079069530745,0.5275846353933118,0.029971288806687073,0.13950705955658813,-0.04996195446600062,0.05313699094395072
p95_dc_utilization,0.10539472348910887,0.6413167316679947,0.6339242326453435,0.03267958077689256,0.1221117837382449,-0.05110460432600071,0.04063709072001672
dc_branches_ge_95pct,0.09710775635639658,0.6923104051427135,0.6926784822284116,-0.007269360906721141,0.06557342510605553,-0.03551833207460565,0.018371610623463312
dc_soc_fraction,0.04558093569878722,-0.032808503762261874,-0.03790682349557166,-0.04458538108024247,-0.13850282463023997,-0.1781630646925389,-0.1479448812429489
dc_charging_mw,0.12156480654007179,0.49935167168447553,0.4877686101153299,0.08493098813063012,0.18881559180080348,-0.043187857948609236,0.06996469761043496
dc_discharging_mw,-0.0497357950555497,-0.1862846263187712,-0.18620604786909328,-0.06683255611933449,0.04014235801224027,-0.025421200099012387,0.05360131122515249
signpost_power_fraction,0.11966774822084751,0.2620495934154158,0.23532598337351035,0.05791663280118125,0.323615939523424,-0.049428103886238105,0.1481073549683254
absolute_net_ramp_mw,-0.02999536620586337,0.033237107169858233,0.03197593189550125,-0.004914492284638215,-0.010055117851807857,-0.030015958215891467,-0.007691606732799343
