,generator_net_change_mw,generator_l1_mw,generator_counterdirection_mw,battery_net_change_mw,battery_l1_mw,soc_net_change_mwh,soc_end_l1_mwh
load_mw,0.790286838380624,-0.4230505799951278,-0.5892688479367773,0.2151448858964404,0.458834529724016,0.4599476049347475,0.09806595308724099
net_load_mw,0.6084504839578712,-0.7102027569105099,-0.791257491757319,0.41270661181608925,0.28656412636051337,0.25131897803492814,0.13379722602582533
available_nd_mw,-0.01115629935238558,0.5949188836201011,0.5295473251342042,-0.34386286938938243,0.1050116908211825,0.12453304757584754,-0.05106668553685541
renewable_fraction,-0.1385239029671519,0.6435059194920817,0.6051740640115043,-0.3777173304003996,0.02812853611249311,0.055812963342781685,-0.061364114278849635
p95_dc_utilization,-0.05544707474716762,0.6581491689210829,0.6075451227514894,-0.004346204149974564,0.024580188404069264,0.025115756640286285,-0.15371904820024476
dc_branches_ge_95pct,-0.154294549598329,0.7268788552531587,0.7003213323954876,-0.06209582036986112,-0.07192355318741592,-0.034425006545030085,-0.15805446270806195
dc_soc_fraction,0.08317484257538768,0.0014677551772124028,-0.013533360775706521,-0.06379379851025932,-0.021521823823304993,-0.010958923174738544,-0.08597262988720945
dc_charging_mw,-0.19498410059629956,0.38542868285441145,0.41307172653520724,-0.16084041370972896,-0.013853477513821271,-0.27428674820373444,-0.047858895495911616
dc_discharging_mw,0.26723344000785665,-0.308803522835199,-0.36299229500408503,0.2213236536684346,0.2545259400334658,0.2607281714448489,0.12931551879554976
signpost_power_fraction,0.15819984617363655,0.07929846819190452,0.025669715264852306,0.12050563169777714,0.3945597884473464,-0.0029966805254520567,0.23356249966976256
absolute_net_ramp_mw,0.12510884484570983,0.054691545844412166,-0.011729266947245524,-0.11319942392255464,-0.06042686505901764,0.25618710384508625,0.13106847286593823
