,generator_net_change_mw,generator_l1_mw,generator_counterdirection_mw,battery_net_change_mw,battery_l1_mw,soc_net_change_mwh,soc_end_l1_mwh
load_mw,0.3816021670749671,-0.1759602187390145,-0.258349276047044,0.02360770342883703,0.14137672094490836,0.016156313431611107,0.11075595024729461
net_load_mw,0.13558726461820128,-0.6076334331307776,-0.642968196407207,0.029448740860197734,0.03307302122124642,0.03380591329597781,0.05586918864765441
available_nd_mw,0.14290288600203585,0.5207778808513746,0.5198848651723327,0.022196710848431122,0.10065746147935185,-0.059302880156880976,0.05651415570024474
renewable_fraction,0.11351571135805075,0.5234126699437162,0.527590113207316,0.015295631789194032,0.08430871895604501,-0.048269585528840205,0.038151813078940215
p95_dc_utilization,0.1043914322391701,0.6358909868766112,0.6261963860833121,0.018959415027192873,0.07938468783918333,-0.05338822877875214,0.02493126127299377
dc_branches_ge_95pct,0.09710641629045627,0.6923105370797787,0.6926776119393862,-0.015009227546601318,0.029909317799272597,-0.039968746108710096,0.007107243612771555
dc_soc_fraction,0.04574589289713984,-0.03302297241343816,-0.038196265408086814,-0.04887677768394093,-0.13802250345910555,-0.1974938073001878,-0.14341218285232585
dc_charging_mw,0.11389890051458461,0.1820219639064405,0.15561083097805417,0.09919610659465643,0.2903045352876854,-0.0668008355946185,0.13867077093671323
dc_discharging_mw,0.008577977168631963,0.10470824625597895,0.08614049275414952,-0.04399390470029666,0.14825720957626848,-0.02341224754555008,0.0905437655417494
signpost_power_fraction,0.10166114117995638,0.14412631783464724,0.11576939157323192,0.058178700424552,0.31970786410106433,-0.06884403163493708,0.1683119704009947
absolute_net_ramp_mw,-0.02999745826904801,0.03323833664759293,0.03197694376996353,-0.005451038302470289,-0.01890233558321963,-0.023132458249155625,-0.010737127252745142
