,generator_net_change_mw,generator_l1_mw,generator_counterdirection_mw,battery_net_change_mw,battery_l1_mw,soc_net_change_mwh,soc_end_l1_mwh
load_mw,0.38149808907285176,-0.175733752659473,-0.2580852119718629,0.023576383548139786,0.14137135495012093,0.016399844409966755,0.11056502490356712
net_load_mw,0.1354260060214352,-0.6075152311081663,-0.6428306736623166,0.029376171545762594,0.03319706090371381,0.0339631249718497,0.05577353928019237
available_nd_mw,0.1429591687056065,0.5207693953515568,0.5198971109581764,0.022373838644809983,0.10043994972698823,-0.05925142568049681,0.0564074877253661
renewable_fraction,0.11356630133755692,0.5233697488429353,0.527567467806875,0.015505720163545251,0.08404092908101977,-0.04821497722572065,0.0380212261095106
p95_dc_utilization,0.10441229253941639,0.6358631060843,0.6262050399472783,0.019068663495172174,0.07925940398162401,-0.05335196247832684,0.024862638924215856
dc_branches_ge_95pct,0.09718546352631766,0.6922749555703334,0.6926676900766764,-0.014938103353675805,0.029807686901190532,-0.04000079073301275,0.007109029326327858
dc_soc_fraction,0.04573032883523773,-0.03303425084624507,-0.038211681832934,-0.048866953783585534,-0.13808325262501953,-0.19748704632096853,-0.14348067749284374
dc_charging_mw,0.11396203388793985,0.1820668433434458,0.15564953134198561,0.09915133359330182,0.2904502067372852,-0.06688696490234462,0.13880402989097204
dc_discharging_mw,0.008583344041401283,0.10473195718224121,0.08616812491598115,-0.04399245955550965,0.1482817116601032,-0.02341700810583726,0.09057075329722904
signpost_power_fraction,0.10172468070426474,0.14417138513261268,0.11580644857686721,0.05812954487378101,0.31985782935476076,-0.06893177349054878,0.16844937959641101
absolute_net_ramp_mw,-0.029642357007334547,0.03270609451437448,0.03128763828221924,-0.0053083747656937205,-0.019122185213778543,-0.023440704096501317,-0.010518307958966543
