branch_row,from_bus,to_bus,rating_mva,hours_dc_ge_95pct,hours_dc_ge_999pct,maximum_dc_mw_over_rating
0,1,2,151.0,0,0,0.05531025362536248
1,1,3,151.0,0,0,0.3787545897805817
2,4,5,176.0,0,0,0.7633827009488455
3,3,5,175.0,0,0,0.5961458672345501
4,5,6,176.0,0,0,0.785327257415624
5,6,7,176.0,0,0,0.4078595416428968
6,8,9,711.0,0,0,0.7102672287974144
7,8,5,1099.0,0,0,0.43273909967612967
8,9,10,710.0,0,0,0.7112676051760023
9,4,11,151.0,0,0,0.5597987873178597
10,5,11,152.0,0,0,0.6492223099070629
11,11,12,151.0,0,0,0.4236557381552294
12,2,12,151.0,0,0,0.2219632625240541
13,3,12,151.0,0,0,0.0352750621218578
14,7,12,164.0,0,0,0.28969025370213314
15,11,13,151.0,0,0,0.19808857507867628
16,12,14,151.0,0,0,0.069509311104022
17,13,15,115.0,0,0,0.18843294013175085
18,14,15,144.0,0,0,0.16162380290122302
19,12,16,164.0,0,0,0.16044323272531996
20,15,17,151.0,0,0,0.8480527003496117
21,16,17,158.0,0,0,0.3109806186199524
22,17,18,167.0,0,0,0.6380112288524166
23,18,19,173.0,0,0,0.18472153139964723
24,19,20,178.0,0,0,0.17645916452435284
25,15,19,151.0,0,0,0.149134646281898
26,20,21,177.0,0,0,0.2989511174651683
27,21,22,178.0,0,0,0.3912368574681729
28,22,23,178.0,0,0,0.4583548865131166
29,23,24,158.0,1583,1427,0.9999999973459689
30,23,25,186.0,0,0,0.6836395194225594
31,26,25,768.0,0,0,0.3088047744350649
32,25,27,177.0,0,0,0.8728539147520107
33,27,28,174.0,0,0,0.23102284051406016
34,28,29,165.0,0,0,0.12172289499170981
35,30,17,756.0,0,0,0.48749165655881016
36,8,30,580.0,0,0,0.5584988062502563
37,26,30,340.0,2771,2373,0.9999932284190461
38,17,31,151.0,0,0,0.31575053765101635
39,29,31,146.0,0,0,0.1566553155480582
40,23,32,158.0,0,0,0.8089868244683439
41,31,32,151.0,0,0,0.23445533236416005
42,27,32,151.0,0,0,0.04000225586237914
43,15,33,150.0,0,0,0.10226650158583327
44,19,34,114.0,0,0,0.21283018623052638
45,35,36,176.0,0,0,0.06169307624376111
46,35,37,175.0,0,0,0.29613806593818726
47,33,37,154.0,0,0,0.2467431905486126
48,34,36,146.0,0,0,0.2574301608550722
49,34,37,159.0,0,0,0.8632854189216003
50,38,37,783.0,0,0,0.4611968406929037
51,37,39,151.0,0,0,0.5477548029841149
52,37,40,140.0,0,0,0.43020561423359577
53,30,38,542.0,0,0,0.36292907087342874
