iteration,timestamp,shard,generator_l1_mw,battery_l1_mw,soc_end_l1_mwh,soc_initial_l1_mwh,generator_net_change_mw,generator_counterdirection_mw,battery_net_change_mw,generator_l1_pct_load,battery_l1_pct_fleet_rating,soc_end_l1_pct_fleet_capacity,controller_id,archive_sha256,policy,operator_intervention,storage_bus_41.delta_b_mw,storage_bus_41.delta_soc_end_mwh,storage_bus_65.delta_b_mw,storage_bus_65.delta_soc_end_mwh,storage_bus_89.delta_b_mw,storage_bus_89.delta_soc_end_mwh,storage_bus_105.delta_b_mw,storage_bus_105.delta_soc_end_mwh,opposing_6h_mw,battery_6h_mw,generator_rank,battery_rank,spatial_score,temporal_score,joint_score
0,2025-01-01 00:00:00+00:00,shard-000,1009.6575498909972,0.0020868055631445,0.0020868055645379,0.0,200.13497747252137,404.7612862092379,-0.0015705642880432,20.56776166279076,0.0007701089667235,0.0001925272418094,ac-000-00-primary_controlling,fb603deac45a403d9896097d07ce2618f97990c989ccd7bbdaecd3535d1173f8,legacy,False,-3.010716246291843e-06,3.010716874030095e-06,-6.520631453825335e-06,6.52063221195931e-06,0.0002581206375506,-0.0002581206375467,-0.0018191535778937,0.0018191535779052,,,,,,,
1,2025-01-01 01:00:00+00:00,shard-000,1012.250258583694,6.967895713487374,6.969967672341891,0.0020868055645379,200.8799588141941,405.68514988475,-6.965669218233509,21.122862732326045,2.571413007000772,0.643044409244778,ac-001-00-primary_controlling,461879f326cea6710be21b67829581f97c0127de53e3f504ff4fb29197bbcb15,legacy,False,8.281875057709557e-06,-5.271158176611834e-06,4.412638133983445e-06,2.1079940779600292e-06,0.0011005531137405,-0.0013586737512909,-6.966782465860441,6.9686016194383456,,,,,,,
2,2025-01-01 02:00:00+00:00,shard-000,882.2720001884495,1.0713004564280375,8.04126812876985,6.969967672341891,189.8345349915853,346.2187325984321,-1.0052730044629823,18.841562834847107,0.3953497643101474,0.7418818503223077,ac-002-00-primary_controlling,fd3827eafe17431874b05f3248b9f200df28a9c1ef1ac940203c6d989ee74aa4,legacy,False,4.066040630879528e-06,-9.337198065395569e-06,-4.1390102236988835e-08,2.149384840777202e-06,0.0330096599418966,-0.0343683336931874,-1.0382866890554077,8.006888308493757,,,,,,,
3,2025-01-01 03:00:00+00:00,shard-000,856.091188061077,4.193420390999885,10.198799660214714,8.04126812876985,179.326126347653,338.382530856712,4.193417494658327,18.66055589699462,1.5475282898346594,0.9409342210485532,ac-003-00-primary_controlling,65090e6ba89f2464ecd9ebb7df55b89b737abc74ba32001842bc352cc44c24ba,legacy,False,-1.1115793885319605e-06,-8.225618469026585e-06,-3.36591390442051e-07,2.485976438038051e-06,3.175475624630997,-3.2098439583241714,1.0179433181981086,6.988944990295636,,,,,,,
4,2025-01-01 04:00:00+00:00,shard-000,854.1362017925792,4.273252646692805,9.1526797490402,10.198799660214714,174.66665521689606,339.73477328784156,4.273252646692805,18.92135265508224,1.5769893651876723,0.8444199197054035,ac-004-00-primary_controlling,473cb9e42b51db93f2fea38d2d7191f2a0994907257c7864695614cc494ed624,legacy,False,9.390947088824304e-07,-9.164712277964782e-06,2.751531262267676e-07,2.210824163739744e-06,1.613565428664451,-4.823409386988629,2.6596860037805197,4.3292589865151285,,,,,,,
5,2025-01-01 05:00:00+00:00,shard-000,825.3383345879029,31.15261297411133,31.724457434987304,9.1526797490402,143.67071628189626,340.8338091530033,31.15261297411133,18.476486169838303,11.496474329923402,2.9268765579565583,ac-005-00-primary_controlling,ee384a90de0a997621968cccd4425321a062fe0b178e63526a86b3c4e36f0972,legacy,False,8.402743553265855,-8.402752717978135,11.600481681741607,-11.600479470917437,6.858972305845933,-11.682381692834568,4.290415433257937,0.0388435532571662,362.60271366499614,7.943428164547096,0.4925287356321839,0.5070114942528736,-0.014482758620689706,0.5070114942528736,0.4925287356321839
6,2025-01-01 06:00:00+00:00,shard-000,768.9904032784908,76.76779155847348,108.4326267053757,31.724457434987304,90.56455274563196,339.2129252664294,76.76779155847348,17.282924685486094,28.33017396487194,10.00391933800602,ac-006-00-primary_controlling,e6a953ec4ffb5765629c8f3f2d195de7555c3826c9b5d90a69af75a0f16a036f,legacy,False,5.897572825457357,-14.300325543435497,53.78336289555702,-65.38384236647431,17.05704469341661,-28.739426386251186,0.0298111440424763,0.0090324092147113,351.67798684119475,20.73771229003215,0.4377011494252874,0.7119540229885057,-0.27425287356321837,0.7119540229885057,0.4377011494252874
7,2025-01-01 07:00:00+00:00,shard-000,823.7900115417501,3.3928926900622463,111.80816239694256,108.4326267053757,155.80026760895015,333.99487196639996,3.3928926900622463,18.45948686136515,1.2521037560444983,10.315343932309618,ac-007-00-primary_controlling,27aa8bffb6005c020ea6ba0385c48cce53066b9e24026ff95fe574401a379642,legacy,False,0.0007326728136925,-14.301058216249237,9.092710430433677e-05,-65.38393329357865,3.383390590896167,-32.12281697714734,0.0086784992480817,0.0003539099673304,339.7296071881364,20.14187845279463,0.3872413793103448,0.705287356321839,-0.31804597701149423,0.705287356321839,0.3872413793103448
8,2025-01-01 08:00:00+00:00,shard-000,843.5015790948682,34.34818853704542,77.701506839401,111.80816239694256,187.63280962873824,327.93438473306503,-34.34772739508479,18.720259460389265,12.67576071784638,7.168687418916451,ac-008-00-primary_controlling,6de7065f17e026be02bb2a48388ba7d0b0b813b49409c8d025f5bf3eeac36d5e,legacy,False,-14.421824706000812,0.1207664897515776,-0.0058625767237162,-65.3780707168549,-19.920270683340572,-12.202546293806762,0.0002305709803168,0.0001233389877768,336.68221587724184,25.688026466230856,0.3759770114942529,0.7570114942528736,-0.38103448275862073,0.7570114942528736,0.3759770114942529
9,2025-01-01 09:00:00+00:00,shard-000,817.9408864292399,40.41727226219883,94.15171546808617,77.701506839401,138.66077473315937,339.6400558480402,16.46162471563208,17.875360997393052,14.91547862884041,8.68637231888557,ac-009-00-primary_controlling,5ab77f44de74c01babad7b3b934ad77544681e0a38f1045adf35ff0f748c98a6,legacy,False,0.0056500623864792,0.1151164273650877,28.43374044544167,-93.81181116229658,-11.977823773283376,-0.2247225205233576,5.798108730674342e-05,6.535790114980955e-05,336.8918033757966,31.725335111430685,0.37724137931034485,0.805632183908046,-0.4283908045977012,0.805632183908046,0.37724137931034485
